query,you_metrics,tavily_metrics,parallel_agentic_metrics,valyu_metrics,parallel_oneshot_metrics,linkup_deep_metrics,linkup_standard_metrics,exa_metrics,perplexity_metrics,winner,win_reason
Snowflake SNOW stock price market cap EPS revenue latest quarterly results guidance 2025,"{'completeness_score': 0.6846153846153846, 'specificity_score': 0.8999999999999999, 'source_quality': 0.6, 'response_time': 0.7435212135314941, 'word_count': 103, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 0.9153846153846154, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.066988706588745, 'word_count': 28, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.2499999999999998, 'source_quality': 0.6, 'response_time': 10.827769041061401, 'word_count': 6078, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.7}","{'completeness_score': 0.9153846153846154, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 6.957525014877319, 'word_count': 51, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.09999999999999981, 'source_quality': 0.6, 'response_time': 2.7946629524230957, 'word_count': 9096, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.30000000000000004, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 17.485146045684814, 'word_count': 273, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 7.979375123977661, 'word_count': 179, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.7}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.935056209564209, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.8999999999999999, 'source_quality': 0.6, 'response_time': 19.810123920440674, 'word_count': 437, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}",perplexity,provides specific numbers; gives specific details; has quality sources
Snowflake Inc latest news October 2025 SNOW Snowflake news,"{'completeness_score': 1.0, 'specificity_score': 0.8999999999999999, 'source_quality': 0.6, 'response_time': 0.7276389598846436, 'word_count': 138, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 0.8714285714285713, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.02435302734375, 'word_count': 26, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.7, 'response_time': 10.029839038848877, 'word_count': 3090, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.8999999999999999, 'source_quality': 0.6, 'response_time': 1.6016929149627686, 'word_count': 209, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.3999999999999998, 'source_quality': 0.6, 'response_time': 3.2553389072418213, 'word_count': 8607, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 14.657927989959717, 'word_count': 282, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 13.797778844833374, 'word_count': 258, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 7.721492290496826, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 14.754501104354858, 'word_count': 343, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 1.0}",you,provides specific numbers; gives specific details; has quality sources
Snowflake latest news October 2025 SNOW company news earnings product partnerships,"{'completeness_score': 0.9999999999999999, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 0.680941104888916, 'word_count': 137, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.9999999999999999, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.093266248703003, 'word_count': 31, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.3999999999999998, 'source_quality': 0.6, 'response_time': 9.560826301574707, 'word_count': 4645, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.45000000000000007, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.8999999999999999, 'source_quality': 0.6, 'response_time': 1.4827370643615723, 'word_count': 215, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.2499999999999998, 'source_quality': 0.6, 'response_time': 4.6275551319122314, 'word_count': 8333, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.3500000000000001, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 20.448014974594116, 'word_count': 216, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 9.175058126449585, 'word_count': 250, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.202309131622314, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.8999999999999999, 'source_quality': 0.6, 'response_time': 19.116158962249756, 'word_count': 478, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.8}",perplexity,provides specific numbers; gives specific details; has quality sources
Snowflake stock price SNOW latest quote market cap revenue EPS guidance Q2 2025 earnings results financial data balance sheet income statement key metrics,"{'completeness_score': 0.908695652173913, 'specificity_score': 0.9999999999999999, 'source_quality': 0.6, 'response_time': 0.6709377765655518, 'word_count': 131, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 0.7347826086956522, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.830461025238037, 'word_count': 16, 'has_numbers': True, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6999999999999998, 'source_quality': 0.6, 'response_time': 9.662699937820435, 'word_count': 4634, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.3869565217391304, 'specificity_score': 0.7999999999999999, 'source_quality': 0.4, 'response_time': 6.7704949378967285, 'word_count': 14, 'has_numbers': True, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.2499999999999998, 'source_quality': 0.6, 'response_time': 3.004159927368164, 'word_count': 8684, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.8499999999999999, 'source_quality': 0.4, 'response_time': 14.189346075057983, 'word_count': 168, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 9.56330394744873, 'word_count': 287, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.7}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.35256290435791, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.7, 'response_time': 9.623178005218506, 'word_count': 352, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.7}",you,provides specific numbers; gives specific details; has quality sources
Snowflake YouTube videos earnings call Snowflake keynote demo 2025 Snowflake Inc video recordings Snowflake Summit 2025,"{'completeness_score': 0.8833333333333334, 'specificity_score': 0.7, 'source_quality': 0.7, 'response_time': 0.5601818561553955, 'word_count': 67, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 5.001455068588257, 'word_count': 26, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7499999999999999, 'source_quality': 0.6, 'response_time': 8.755744934082031, 'word_count': 4039, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.8999999999999999}","{'completeness_score': 0.8833333333333334, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 1.809436321258545, 'word_count': 74, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.44999999999999984, 'source_quality': 0.6, 'response_time': 3.1740894317626953, 'word_count': 6855, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.30000000000000004, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.3999999999999999, 'source_quality': 0.7, 'response_time': 20.316554069519043, 'word_count': 200, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999999, 'source_quality': 0.7, 'response_time': 9.289972066879272, 'word_count': 301, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 7.642168045043945, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 13.822523832321167, 'word_count': 343, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",you,provides specific numbers; has quality sources
"founded after 2025 funded $2,000,000 or more companies","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7999999999999999, 'source_quality': 0.7, 'response_time': 0.9534289836883545, 'word_count': 173, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.55, 'specificity_score': 0.7, 'source_quality': 0.7, 'response_time': 1.9412028789520264, 'word_count': 32, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.6, 'response_time': 5.951921224594116, 'word_count': 4810, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.30000000000000004, 'actionability': 0.7}","{'completeness_score': 0.9249999999999999, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 1.9418668746948242, 'word_count': 224, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.6999999999999998, 'source_quality': 0.7, 'response_time': 2.5673248767852783, 'word_count': 7134, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 1.0}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.7, 'response_time': 15.490208864212036, 'word_count': 131, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.7, 'response_time': 8.371035814285278, 'word_count': 135, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 7.7359209060668945, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.4999999999999999, 'source_quality': 0.7, 'response_time': 6.695159912109375, 'word_count': 270, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",parallel_oneshot,provides specific numbers; has quality sources
founded after 2025 funded $2M or more companies,"{'completeness_score': 0.9249999999999999, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 0.7816920280456543, 'word_count': 206, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.7, 'response_time': 2.1617071628570557, 'word_count': 36, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.3999999999999998, 'source_quality': 0.6, 'response_time': 5.536592245101929, 'word_count': 3784, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 1.729369878768921, 'word_count': 226, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.3999999999999998, 'source_quality': 0.6, 'response_time': 2.690613031387329, 'word_count': 7894, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.8999999999999999}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 11.835071802139282, 'word_count': 179, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 7.974255800247192, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 18.138787269592285, 'word_count': 431, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.65, 'actionability': 0.5}",you,provides specific numbers; gives specific details; has quality sources
founded after 2025 funded $2M+ or more companies,"{'completeness_score': 0.9249999999999999, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 0.727107048034668, 'word_count': 206, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.30000000000000004, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 2.2337839603424072, 'word_count': 28, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.6, 'response_time': 8.03369402885437, 'word_count': 3136, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 1.648953914642334, 'word_count': 226, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.7, 'response_time': 3.6897640228271484, 'word_count': 8253, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.45000000000000007, 'actionability': 1.0}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 6.511851072311401, 'word_count': 154, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 8.819284200668335, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.34999999999999987, 'source_quality': 0.7, 'response_time': 16.870290279388428, 'word_count': 439, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",you,provides specific numbers; gives specific details; has quality sources
artificial intelligence founded after 2025 funded $2M or more companies,"{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 0.8054780960083008, 'word_count': 118, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.6, 'specificity_score': 0.7999999999999999, 'source_quality': 0.7, 'response_time': 1.466658115386963, 'word_count': 34, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6999999999999998, 'source_quality': 0.7999999999999999, 'response_time': 8.703311920166016, 'word_count': 4706, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.8999999999999999}","{'completeness_score': 0.7000000000000001, 'specificity_score': 0.7999999999999999, 'source_quality': 1.0, 'response_time': 7.171260118484497, 'word_count': 149, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.7999999999999999, 'response_time': 2.574233055114746, 'word_count': 7764, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.55, 'actionability': 0.8999999999999999}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7999999999999999, 'source_quality': 0.7999999999999999, 'response_time': 8.064133882522583, 'word_count': 206, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 11.720809936523438, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.34999999999999987, 'source_quality': 0.7999999999999999, 'response_time': 18.601266860961914, 'word_count': 432, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",parallel_agentic,provides specific numbers; has quality sources
"founded after 2025 funded 2,000,000 or more companies","{'completeness_score': 1.0, 'specificity_score': 0.7999999999999999, 'source_quality': 0.7, 'response_time': 0.8734219074249268, 'word_count': 185, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.5499999999999999, 'source_quality': 0.7999999999999999, 'response_time': 1.610799789428711, 'word_count': 39, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.7, 'response_time': 8.465100049972534, 'word_count': 6801, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.7}","{'completeness_score': 0.9249999999999999, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 1.73744797706604, 'word_count': 223, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.85, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.2499999999999998, 'source_quality': 0.7, 'response_time': 2.422271966934204, 'word_count': 7742, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.3500000000000001, 'actionability': 1.0}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.7, 'response_time': 3.0400187969207764, 'word_count': 17, 'has_numbers': True, 'has_specific_names': False, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 10.991958141326904, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7999999999999999, 'source_quality': 0.7, 'response_time': 7.342567205429077, 'word_count': 230, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",you,provides specific numbers; gives specific details; has quality sources
General Intuition founded 2025 'founded' 'General Intuition' 'seed' 134m 'founded in 2025' 'founders',"{'completeness_score': 0.6333333333333333, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 0.6925129890441895, 'word_count': 141, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.6333333333333333, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 2.746962070465088, 'word_count': 35, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.5499999999999998, 'source_quality': 0.6, 'response_time': 7.0808820724487305, 'word_count': 3231, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.7}","{'completeness_score': 0.6333333333333333, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 1.526252031326294, 'word_count': 210, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 0.7166666666666667, 'specificity_score': 0.3999999999999998, 'source_quality': 0.6, 'response_time': 2.2022621631622314, 'word_count': 6561, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 1.0}","{'completeness_score': 0.6333333333333333, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 8.13699197769165, 'word_count': 80, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.6333333333333333, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 3.926220178604126, 'word_count': 71, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 7.649454116821289, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7166666666666667, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 9.807564973831177, 'word_count': 188, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",perplexity,provides specific numbers; gives specific details; has quality sources
software founded after 2025 funded $2M or more companies,"{'completeness_score': 0.9666666666666667, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 0.7965798377990723, 'word_count': 115, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7444444444444444, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.4747250080108643, 'word_count': 33, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.2499999999999998, 'source_quality': 0.6, 'response_time': 7.226952314376831, 'word_count': 7686, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5000000000000001, 'actionability': 0.7}","{'completeness_score': 0.9666666666666667, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 1.6707899570465088, 'word_count': 166, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.09999999999999981, 'source_quality': 0.6, 'response_time': 3.0498759746551514, 'word_count': 6622, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.65, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 8.966588020324707, 'word_count': 44, 'has_numbers': True, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 9.131463050842285, 'word_count': 267, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 8.226261138916016, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.4999999999999999, 'source_quality': 0.7, 'response_time': 6.303695201873779, 'word_count': 266, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",you,provides specific numbers; has quality sources
